Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.77     0.00    15300     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      1.77     0.00    15300     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.77     0.00    15300     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<float>::param_type const&)
  0.00      1.77     0.00    15300     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.77     0.00    15300     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::operator()()
  0.00      1.77     0.00    15300     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.77     0.00    11088     0.00     0.00  Node::set_probability(unsigned long, float)
  0.00      1.77     0.00     8118     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      1.77     0.00     6872     0.00     0.00  std::char_traits<char>::eq(char const&, char const&)
  0.00      1.77     0.00     5346     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_S_buffer_size()
  0.00      1.77     0.00     4797     0.00     0.00  std::bitset<48ul>::_Unchecked_set(unsigned long, int)
  0.00      1.77     0.00     4797     0.00     0.00  std::bitset<48ul>::_Unchecked_reset(unsigned long)
  0.00      1.77     0.00     4797     0.00     0.00  std::bitset<48ul>::set(unsigned long, bool)
  0.00      1.77     0.00     4797     0.00     0.00  std::bitset<48ul>::reset(unsigned long)
  0.00      1.77     0.00     4158     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**)
  0.00      1.77     0.00     3301     0.00     0.00  std::_Base_bitset<1ul>::_M_do_reset()
  0.00      1.77     0.00     3295     0.00     0.00  std::is_constant_evaluated()
  0.00      1.77     0.00     1702     0.00     0.00  std::bitset<56ul>::reset()
