Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00    1600/1600        std::_Sanitize<56ul>::_S_do_sanitize(unsigned long&) [149]
                0.00    0.00    1600/1602        std::_Base_bitset<1ul>::_M_hiword() [144]
-----------------------------------------------
                0.00    0.00    1600/1600        Game::get_legal_moves(std::bitset<56ul>&) [39]
[148]    0.0    0.00    0.00    1600         std::bitset<56ul>::set() [148]
                0.00    0.00    1600/1602        std::_Base_bitset<1ul>::_M_do_set() [143]
                0.00    0.00    1600/1600        std::bitset<56ul>::_M_do_sanitize() [147]
-----------------------------------------------
                0.00    0.00    1600/1600        std::bitset<56ul>::_M_do_sanitize() [147]
[149]    0.0    0.00    0.00    1600         std::_Sanitize<56ul>::_S_do_sanitize(unsigned long&) [149]
-----------------------------------------------
                0.00    0.00    1599/1599        Node::get_result() [152]
[150]    0.0    0.00    0.00    1599         Game::get_result() [150]
-----------------------------------------------
                0.00    0.00    1599/1599        Game::do_move(unsigned long) [47]
[151]    0.0    0.00    0.00    1599         Move::Move(unsigned long) [151]
-----------------------------------------------
                0.00    0.00    1599/1599        TrainMC::search(float*) [6]
[152]    0.0    0.00    0.00    1599         Node::get_result() [152]
                0.00    0.00    1599/1599        Game::get_result() [150]
-----------------------------------------------
                0.00    0.00    1599/1599        TrainMC::search(float*) [6]
[153]    0.0    0.00    0.00    1599         Node::get_game() [153]
-----------------------------------------------
                0.00    0.00    1599/1599        Game::do_move(unsigned long) [47]
[154]    0.0    0.00    0.00    1599         std::bitset<16ul>::reset() [154]
                0.00    0.00    1599/3301        std::_Base_bitset<1ul>::_M_do_reset() [137]
-----------------------------------------------
                0.00    0.00       1/1404        std::vector<SelfPlayer, std::allocator<SelfPlayer> >::_S_max_size(std::allocator<SelfPlayer> const&) [397]
                0.00    0.00      11/1404        std::vector<Node*, std::allocator<Node*> >::_S_max_size(std::allocator<Node*> const&) [282]
                0.00    0.00     204/1404        void std::bitset<56ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char) [62]
                0.00    0.00    1188/1404        std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&) [171]
[155]    0.0    0.00    0.00    1404         unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [155]
-----------------------------------------------
                0.00    0.00     198/1386        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_map_allocator() const [183]
                0.00    0.00    1188/1386        std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const [169]
[156]    0.0    0.00    0.00    1386         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const [156]
-----------------------------------------------
                0.00    0.00    1287/1287        std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long) [162]
[157]    0.0    0.00    0.00    1287         __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long) [157]
-----------------------------------------------
                0.00    0.00    1287/1287        std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long) [163]
[158]    0.0    0.00    0.00    1287         __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*) [158]
                0.00    0.00    1287/1287        __gnu_cxx::new_allocator<unsigned int>::_M_max_size() const [159]
-----------------------------------------------
                0.00    0.00    1287/1287        __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*) [158]
[159]    0.0    0.00    0.00    1287         __gnu_cxx::new_allocator<unsigned int>::_M_max_size() const [159]
-----------------------------------------------
                0.00    0.00      99/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_create_nodes(unsigned int**, unsigned int**) [251]
                0.00    0.00    1188/1287        void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&) [173]
[160]    0.0    0.00    0.00    1287         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_node() [160]
                0.00    0.00    1287/8118        std::__deque_buf_size(unsigned long) [133]
                0.00    0.00    1287/1287        std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long) [163]
-----------------------------------------------
                0.00    0.00      99/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_destroy_nodes(unsigned int**, unsigned int**) [253]
                0.00    0.00    1188/1287        std::deque<unsigned int, std::allocator<unsigned int> >::_M_pop_front_aux() [172]
[161]    0.0    0.00    0.00    1287         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_node(unsigned int*) [161]
                0.00    0.00    1287/8118        std::__deque_buf_size(unsigned long) [133]
                0.00    0.00    1287/1287        std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long) [162]
-----------------------------------------------
                0.00    0.00    1287/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_node(unsigned int*) [161]
[162]    0.0    0.00    0.00    1287         std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long) [162]
                0.00    0.00    1287/3295        std::is_constant_evaluated() [138]
                0.00    0.00    1287/1287        __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long) [157]
-----------------------------------------------
                0.00    0.00    1287/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_node() [160]
[163]    0.0    0.00    0.00    1287         std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long) [163]
                0.00    0.00    1287/3295        std::is_constant_evaluated() [138]
                0.00    0.00    1287/1287        __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*) [158]
-----------------------------------------------
                0.00    0.00    1248/1248        unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long) [165]
[164]    0.0    0.00    0.00    1248         std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long) [164]
-----------------------------------------------
                0.00    0.00    1248/1248        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [320]
[165]    0.0    0.00    0.00    1248         unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long) [165]
                0.00    0.00    1248/1248        std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long) [164]
-----------------------------------------------
                0.00    0.00    1246/1246        unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long) [167]
[166]    0.0    0.00    0.00    1246         std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long) [166]
-----------------------------------------------
                0.00    0.00    1246/1246        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [320]
[167]    0.0    0.00    0.00    1246         unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long) [167]
                0.00    0.00    1246/1246        std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long) [166]
-----------------------------------------------
                0.00    0.00    1188/1188        void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&) [173]
[168]    0.0    0.00    0.00    1188         std::deque<unsigned int, std::allocator<unsigned int> >::size() const [168]
                0.00    0.00    1188/1188        std::operator-(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&) [175]
-----------------------------------------------
                0.00    0.00    1188/1188        void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&) [173]
[169]    0.0    0.00    0.00    1188         std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const [169]
                0.00    0.00    1188/1386        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const [156]
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&) [171]
-----------------------------------------------
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&) [171]
[170]    0.0    0.00    0.00    1188         std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&) [170]
-----------------------------------------------
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const [169]
[171]    0.0    0.00    0.00    1188         std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&) [171]
                0.00    0.00    1188/1188        std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&) [170]
                0.00    0.00    1188/1404        unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [155]
-----------------------------------------------
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::pop_front() [107]
[172]    0.0    0.00    0.00    1188         std::deque<unsigned int, std::allocator<unsigned int> >::_M_pop_front_aux() [172]
                0.00    0.00    1188/158499      std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() [92]
                0.00    0.00    1188/158400      void std::allocator_traits<std::allocator<unsigned int> >::destroy<unsigned int>(std::allocator<unsigned int>&, unsigned int*) [102]
                0.00    0.00    1188/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_node(unsigned int*) [161]
                0.00    0.00    1188/4158        std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**) [136]
-----------------------------------------------
                0.00    0.00    1188/1188        unsigned int& std::deque<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&) [104]
[173]    0.0    0.00    0.00    1188         void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&) [173]
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::size() const [168]
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const [169]
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::_M_reserve_map_at_back(unsigned long) [174]
                0.00    0.00    1188/1287        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_node() [160]
                0.00    0.00    1188/476388      unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&) [84]
                0.00    0.00    1188/158400      void std::allocator_traits<std::allocator<unsigned int> >::construct<unsigned int, unsigned int>(std::allocator<unsigned int>&, unsigned int*, unsigned int&&) [103]
                0.00    0.00    1188/4158        std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**) [136]
-----------------------------------------------
                0.00    0.00    1188/1188        void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&) [173]
[174]    0.0    0.00    0.00    1188         std::deque<unsigned int, std::allocator<unsigned int> >::_M_reserve_map_at_back(unsigned long) [174]
                0.00    0.00     198/198         std::deque<unsigned int, std::allocator<unsigned int> >::_M_reallocate_map(unsigned long, bool) [188]
-----------------------------------------------
                0.00    0.00    1188/1188        std::deque<unsigned int, std::allocator<unsigned int> >::size() const [168]
[175]    0.0    0.00    0.00    1188         std::operator-(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&) [175]
                0.00    0.00    1188/5346        std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_S_buffer_size() [135]
-----------------------------------------------
                0.00    0.00     594/594         unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [190]
[176]    0.0    0.00    0.00     594         unsigned int** std::__niter_base<unsigned int**>(unsigned int**) [176]
-----------------------------------------------
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const [203]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const [200]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long) [221]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [213]
                0.00    0.00     102/510         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [219]
[177]    0.0    0.00    0.00     510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [177]
-----------------------------------------------
                0.00    0.00     396/396         unsigned int** std::copy<unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [193]
[178]    0.0    0.00    0.00     396         unsigned int** std::__miter_base<unsigned int**>(unsigned int**) [178]
-----------------------------------------------
                0.00    0.00     102/204         void std::bitset<56ul>::_M_check_initial_position<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const [199]
                0.00    0.00     102/204         void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char) [63]
[179]    0.0    0.00    0.00     204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [179]
-----------------------------------------------
                0.00    0.00     102/204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long) [226]
                0.00    0.00     102/204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [213]
[180]    0.0    0.00    0.00     204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() [180]
-----------------------------------------------
                0.00    0.00     198/198         SelfPlayer::do_iteration(float, float*, float*, float*) [4]
[181]    0.0    0.00    0.00     198         TrainMC::get_root() [181]
-----------------------------------------------
                0.00    0.00     198/198         std::allocator<unsigned int*>::allocator<unsigned int>(std::allocator<unsigned int> const&) [184]
[182]    0.0    0.00    0.00     198         __gnu_cxx::new_allocator<unsigned int*>::new_allocator() [182]
-----------------------------------------------
                0.00    0.00      99/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_map(unsigned int**, unsigned long) [254]
                0.00    0.00      99/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_map(unsigned long) [250]
[183]    0.0    0.00    0.00     198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_map_allocator() const [183]
                0.00    0.00     198/1386        std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const [156]
                0.00    0.00     198/198         std::allocator<unsigned int*>::allocator<unsigned int>(std::allocator<unsigned int> const&) [184]
-----------------------------------------------
                0.00    0.00     198/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_map_allocator() const [183]
[184]    0.0    0.00    0.00     198         std::allocator<unsigned int*>::allocator<unsigned int>(std::allocator<unsigned int> const&) [184]
                0.00    0.00     198/198         __gnu_cxx::new_allocator<unsigned int*>::new_allocator() [182]
-----------------------------------------------
                0.00    0.00      99/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_map(unsigned int**, unsigned long) [254]
                0.00    0.00      99/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_map(unsigned long) [250]
[185]    0.0    0.00    0.00     198         std::allocator<unsigned int*>::~allocator() [185]
-----------------------------------------------
                0.00    0.00     198/198         unsigned int** std::__copy_move_a2<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [192]
[186]    0.0    0.00    0.00     198         unsigned int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int*>(unsigned int* const*, unsigned int* const*, unsigned int**) [186]
-----------------------------------------------
                0.00    0.00     198/198         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_Deque_impl_data::_Deque_impl_data() [252]
[187]    0.0    0.00    0.00     198         std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator() [187]
-----------------------------------------------
                0.00    0.00     198/198         std::deque<unsigned int, std::allocator<unsigned int> >::_M_reserve_map_at_back(unsigned long) [174]
[188]    0.0    0.00    0.00     198         std::deque<unsigned int, std::allocator<unsigned int> >::_M_reallocate_map(unsigned long, bool) [188]
                0.00    0.00     396/4158        std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**) [136]
                0.00    0.00     198/198         unsigned int** std::copy<unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [193]
-----------------------------------------------
                0.00    0.00     198/198         unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [190]
[189]    0.0    0.00    0.00     198         unsigned int** std::__niter_wrap<unsigned int**>(unsigned int** const&, unsigned int**) [189]
-----------------------------------------------
                0.00    0.00     198/198         unsigned int** std::copy<unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [193]
[190]    0.0    0.00    0.00     198         unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [190]
                0.00    0.00     594/594         unsigned int** std::__niter_base<unsigned int**>(unsigned int**) [176]
                0.00    0.00     198/198         unsigned int** std::__copy_move_a1<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [191]
                0.00    0.00     198/198         unsigned int** std::__niter_wrap<unsigned int**>(unsigned int** const&, unsigned int**) [189]
-----------------------------------------------
                0.00    0.00     198/198         unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [190]
[191]    0.0    0.00    0.00     198         unsigned int** std::__copy_move_a1<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [191]
                0.00    0.00     198/198         unsigned int** std::__copy_move_a2<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [192]
-----------------------------------------------
                0.00    0.00     198/198         unsigned int** std::__copy_move_a1<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [191]
[192]    0.0    0.00    0.00     198         unsigned int** std::__copy_move_a2<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [192]
                0.00    0.00     198/3295        std::is_constant_evaluated() [138]
                0.00    0.00     198/198         unsigned int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int*>(unsigned int* const*, unsigned int* const*, unsigned int**) [186]
-----------------------------------------------
                0.00    0.00     198/198         std::deque<unsigned int, std::allocator<unsigned int> >::_M_reallocate_map(unsigned long, bool) [188]
[193]    0.0    0.00    0.00     198         unsigned int** std::copy<unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [193]
                0.00    0.00     396/396         unsigned int** std::__miter_base<unsigned int**>(unsigned int**) [178]
                0.00    0.00     198/198         unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**) [190]
-----------------------------------------------
                0.00    0.00       5/104         std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const [68]
                0.00    0.00      99/104         std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_initialize_map(unsigned long) [255]
[194]    0.0    0.00    0.00     104         unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [194]
-----------------------------------------------
                0.00    0.00     102/102         std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long) [210]
[195]    0.0    0.00    0.00     102         __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long) [195]
-----------------------------------------------
                0.00    0.00     102/102         std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long) [211]
[196]    0.0    0.00    0.00     102         __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*) [196]
                0.00    0.00     102/102         __gnu_cxx::new_allocator<char>::_M_max_size() const [198]
-----------------------------------------------
                0.00    0.00     102/102         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [219]
[197]    0.0    0.00    0.00     102         bool __gnu_cxx::__is_null_pointer<char const>(char const*) [197]
-----------------------------------------------
                0.00    0.00     102/102         __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*) [196]
[198]    0.0    0.00    0.00     102         __gnu_cxx::new_allocator<char>::_M_max_size() const [198]
-----------------------------------------------
                0.00    0.00     102/102         std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [35]
[199]    0.0    0.00    0.00     102         void std::bitset<56ul>::_M_check_initial_position<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const [199]
                0.00    0.00     102/204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [179]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose() [214]
[200]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const [200]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [177]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const [201]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const [200]
[201]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const [201]
                0.00    0.00     102/102         std::pointer_traits<char const*>::pointer_to(char const&) [208]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [204]
[202]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const [202]
-----------------------------------------------
                0.00    0.00     102/102         void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char) [63]
[203]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const [203]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [177]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long) [226]
[204]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [204]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const [202]
                0.00    0.00     102/102         std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&) [212]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long) [225]
[205]    0.0    0.00    0.00     102         std::char_traits<char>::copy(char*, char const*, unsigned long) [205]
                0.00    0.00     102/3295        std::is_constant_evaluated() [138]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long) [221]
[206]    0.0    0.00    0.00     102         std::char_traits<char>::assign(char&, char const&) [206]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [228]
[207]    0.0    0.00    0.00     102         std::char_traits<char>::length(char const*) [207]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const [201]
[208]    0.0    0.00    0.00     102         std::pointer_traits<char const*>::pointer_to(char const&) [208]
                0.00    0.00     102/102         char const* std::addressof<char const>(char const&) [235]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() [220]
[209]    0.0    0.00    0.00     102         std::pointer_traits<char*>::pointer_to(char&) [209]
                0.00    0.00     102/102         char* std::addressof<char>(char&) [236]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [213]
[210]    0.0    0.00    0.00     102         std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long) [210]
                0.00    0.00     102/3295        std::is_constant_evaluated() [138]
                0.00    0.00     102/102         __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long) [195]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long) [226]
[211]    0.0    0.00    0.00     102         std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long) [211]
                0.00    0.00     102/3295        std::is_constant_evaluated() [138]
                0.00    0.00     102/102         __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*) [196]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [204]
[212]    0.0    0.00    0.00     102         std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&) [212]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose() [214]
[213]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [213]
                0.00    0.00     102/510         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [177]
                0.00    0.00     102/204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() [180]
                0.00    0.00     102/102         std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long) [210]
-----------------------------------------------
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [229]
[214]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose() [214]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const [200]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [213]
-----------------------------------------------
                0.00    0.00     102/102         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [219]
[215]    0.0    0.00    0.00     102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long) [215]
-----------------------------------------------
